timestamp,ticker,price,volume
2025-10-28,GOOGL,267.47,29738554
2025-10-28,MSFT,542.07,29986683
2025-10-28,NVDA,201.03,297970590
2025-10-28,AMZN,229.25,47099924
2025-10-29,AAPL,269.70,51086742
2025-10-29,GOOGL,274.57,43580177
2025-10-29,MSFT,541.55,36023004
2025-10-29,NVDA,207.04,308822352
2025-10-29,AMZN,230.30,52035936
2025-10-30,AAPL,271.40,69886281
2025-10-30,GOOGL,281.48,74875990
2025-10-30,MSFT,525.76,41023088
2025-10-30,NVDA,202.89,178859778
2025-10-30,AMZN,222.86,102252888
2025-10-31,AAPL,270.37,86167123
2025-10-31,GOOGL,281.19,39267645
2025-10-31,MSFT,517.81,34006324
2025-10-31,NVDA,202.49,179798344
2025-10-31,AMZN,244.22,166340683
2025-11-03,AAPL,269.05,50194063
2025-11-03,GOOGL,283.72,29785996
2025-11-03,MSFT,517.03,22374742
2025-11-03,NVDA,206.88,180265342
2025-11-03,AMZN,254.00,95997714
2025-11-04,AAPL,270.04,49271745
2025-11-04,GOOGL,277.54,30078369
2025-11-04,MSFT,514.33,20958663
2025-11-04,NVDA,198.69,188894759
2025-11-04,AMZN,249.32,51546311
2025-11-05,AAPL,270.14,43682972
2025-11-05,GOOGL,284.31,31010102
2025-11-05,MSFT,507.16,23024342
2025-11-05,NVDA,195.21,171348782
2025-11-05,AMZN,250.20,40610602
2025-11-06,AAPL,269.77,51203925
2025-11-06,GOOGL,284.75,37173648
2025-11-06,MSFT,497.10,27406496
2025-11-06,NVDA,188.08,223024989
2025-11-06,AMZN,243.04,46004201
2025-11-07,AAPL,268.47,48227365
2025-11-07,GOOGL,278.83,34479588
2025-11-07,MSFT,496.82,24019744
2025-11-07,NVDA,188.15,264939772
2025-11-07,AMZN,244.41,46374294
2025-11-10,AAPL,269.43,41312312
2025-11-10,GOOGL,290.10,29557309
2025-11-10,MSFT,506.00,26101380
2025-11-10,NVDA,199.05,198884804
2025-11-10,AMZN,248.40,36476474
2025-11-11,AAPL,275.25,46201578
2025-11-11,GOOGL,291.31,19842136
2025-11-11,MSFT,508.68,17980020
2025-11-11,NVDA,193.16,176446659
2025-11-11,AMZN,249.10,23563960
2025-11-12,AAPL,273.47,48395767
2025-11-12,GOOGL,286.71,24829734
2025-11-12,MSFT,511.14,26574851
2025-11-12,NVDA,193.80,154928125
2025-11-12,AMZN,244.20,31190063
2025-11-13,AAPL,272.95,49602794
2025-11-13,GOOGL,278.57,29494038
2025-11-13,MSFT,503.29,25273114
2025-11-13,NVDA,186.86,207420774
2025-11-13,AMZN,237.58,41401638
2025-11-14,AAPL,272.41,47431201
2025-11-14,GOOGL,276.41,31646923
2025-11-14,MSFT,510.18,28505746
2025-11-14,NVDA,190.17,186588499
2025-11-14,AMZN,234.69,38956619
2025-11-17,AAPL,267.46,44958759
2025-11-17,GOOGL,285.02,52670031
2025-11-17,MSFT,507.49,19092752
2025-11-17,NVDA,186.60,173623379
2025-11-17,AMZN,232.87,59918908
2025-11-18,AAPL,267.44,45677270
2025-11-18,GOOGL,284.28,49158743
2025-11-18,MSFT,493.79,33814974
2025-11-18,NVDA,181.36,213594749
2025-11-18,AMZN,222.55,60608442
2025-11-19,AAPL,268.56,40334193
2025-11-19,GOOGL,292.81,68198844
2025-11-19,MSFT,487.12,23245311
2025-11-19,NVDA,186.52,247238094
2025-11-19,AMZN,222.69,58335353
2025-11-20,AAPL,266.25,45728132
2025-11-20,GOOGL,289.45,62024856
2025-11-20,MSFT,478.43,26802442
2025-11-20,NVDA,180.64,343500467
2025-11-20,AMZN,217.14,50308862
2025-11-21,AAPL,271.49,58923249
2025-11-21,GOOGL,299.66,74137472
2025-11-21,MSFT,472.12,31769248
2025-11-21,NVDA,178.88,346920745
2025-11-21,AMZN,220.69,68490453
2025-11-24,AAPL,275.92,65497571
2025-11-24,GOOGL,318.58,85164423
2025-11-24,MSFT,474.00,34421036
2025-11-24,NVDA,182.55,256589462
2025-11-24,AMZN,226.28,54318223
